zipcode,area,city
KF4138,"Kampong Bang Pukul, Bukit Sawat",Belait
KF4338,"Kampong Bang Tajuk, Bukit Sawat",Belait
KF1338,"Kampong Bisut, Bukit Sawat",Belait
KF2138,"Kampong Bukit Kandol, Bukit Sawat",Belait
KF1738,"Kampong Bukit Sawat, Bukit Sawat",Belait
KF2738,"Kampong Bukit Serawong, Bukit Sawat",Belait
KF2538,"Kampong Kagu, Bukit Sawat",Belait
KF2338,"Kampong Labi Lakang, Bukit Sawat",Belait
KF3538,"Kampong Laong Arut, Bukit Sawat",Belait
KF3338,"Kampong Merangking Hilir, Bukit Sawat",Belait
KF3138,"Kampong Merangking Ulu, Bukit Sawat",Belait
KF3938,"Kampong Pengkalan Siong, Bukit Sawat",Belait
KF4738,"Kampong Pengkalan Sungai Mau, Bukit Sawat",Belait
KF4538,"Kampong Pulu Apil, Bukit Sawat",Belait
KF2938,"Kampong Singap, Bukit Sawat",Belait
KF1138,"Kampong Sungai Mau, Bukit Sawat",Belait
KF1538,"Kampong Sungai Ubar, Bukit Sawat",Belait
KF3738,"Kampong Tarap, Bukit Sawat",Belait
KF1938,"Kampong Ubok-Ubok, Bukit Sawat",Belait
KD1132,"Kampong Kuala Balai, Kuala Balai",Belait
KD1332,"Kampong Mala'as, Kuala Balai",Belait
KD1532,"Kampong Sungai Damit, Kuala Balai",Belait
KA1131,"Jabatan Bandaran, Kuala Belait",Belait
KA1131,"Jabatan Daearah Kuala Belait, Kuala Belait",Belait
KA2331,"Kampong China, Kuala Belait",Belait
KA1331,"Kampong Melayu Asli, Kuala Belait",Belait
KA1731,"Kampong Mumong Selatan, Kuala Belait",Belait
KA1531,"Kampong Mumong Utara, Kuala Belait",Belait
KA1931,"Kampong Pandan, Kuala Belait",Belait
KA2731,"Kampong Rasau, Kuala Belait",Belait
KA3131,"Kampong Sungai Duhon, Kuala Belait",Belait
KA3331,"Kampong Sungai Teraban, Kuala Belait",Belait
KA1131,"Pekan Kuala Belait, Kuala Belait",Belait
KA2931,"Perumahan BSP, Kuala Belait",Belait
KA2131,"Perumahan Negara Kampung Pandan, Kuala Belait",Belait
KA3531,"Sungai Satu Hingga Sungai Tujoh, Kuala Belait",Belait
KE1137,"Kampong Bukit Puan, Labi",Belait
KE2537,"Kampong Gatas, Labi",Belait
KE2737,"Kampong Kenapol, Labi",Belait
KE1537,"Kampong Malayan, Labi",Belait
KE3537,"Kampong Mendaram Besar, Labi",Belait
KE3737,"Kampong Mendaram Kecil, Labi",Belait
KE2937,"Kampong Pesilin, Labi",Belait
KE3337,"Kampong Rampayoh, Labi",Belait
KE2137,"Kampong Ratan, Labi",Belait
KE1337,"Kampong Sungai Patai, Labi",Belait
KE3137,"Kampong Tarawan, Labi",Belait
KE1937,"Kampong Tenajor, Labi",Belait
KE3937,"Kampong Teraja, Labi",Belait
KE2337,"Kampong Terunan, Labi",Belait
KE1737,"Kampong Tupan Lupak, Labi",Belait
KC1535,"Kampong Andalau, Liang",Belait
KC1335,"Kampong Gana, Liang",Belait
KC1735,"Kampong Keluyoh, Liang",Belait
KC2335,"Kampong Liang Kecil, Liang",Belait
KC2535,"Kampong Lilas, Liang",Belait
KC2135,"Kampong Padang, Liang",Belait
KC1935,"Kampong Perumpong, Liang",Belait
KC1135,"Kampong Sungai Liang, Liang",Belait
KC2735,"Kampong Tunggulian, Liang",Belait
KC3135,"Lumut Dua, Liang",Belait
KC2935,"Lumut Satu, Liang",Belait
KH1539,"Kampong Bengerang II, Melilas",Belait
KH1339,"Kampong Melilas, Melilas",Belait
KH1139,"Kampong Tempinak, Melilas",Belait
KB2333,"Kampong Anduki, Seria",Belait
KB3933,"Kampong Jabang, Seria",Belait
KB2133,"Kampong Jalan Bedas, Seria",Belait
KB1333,"Kampong Lorong Tiga Selatan, Seria",Belait
KB2733,"Kampong Masjid, Seria",Belait
KB1133,"Kampong Pekan Seria, Seria",Belait
KB1733,"Kampong Perakong, Seria",Belait
KB2533,"Kampong Perpindahan Baru, Seria",Belait
KB1933,"Kampong Sungai Bera, Seria",Belait
KB4333,"Kawasan Jalan Bolkiah, Seria",Belait
KB2933,"Kawasan Perumahan B.S.P, Seria",Belait
KB3133,"Kawasan Perumahan B.S.P, Seria",Belait
KB3333,"Kawasan Perumahan B.S.P, Seria",Belait
KB3533,"Kawasan Shell, Seria",Belait
KB3733,"Military Area, Seria",Belait
KB4533,"Panaga, Seria",Belait
KB1533,"Perumahan Negara, Seria",Belait
KB4133,"Sekolah Mission, Seria",Belait
KG2339,"Kampong Ambawang, Sukang",Belait
KG1139,"Kampong Apak - Apak, Sukang",Belait
KG2539,"Kampong Biadong Tengah, Sukang",Belait
KG2739,"Kampong Biadong Ulu, Sukang",Belait
KG1539,"Kampong Buau, Sukang",Belait
KG2139,"Kampong Dungun, Sukang",Belait
KG1739,"Kampong Kukup, Sukang",Belait
KG1339,"Kampong Saud, Sukang",Belait
KG1939,"Kampong Sukang, Sukang",Belait
BS8610,"Adat Istiadat Negara, Bandar Seri Begawan",Brunei Muara
BS8610,"Agensi Pelaburan Brunei, Bandar Seri Begawan",Brunei Muara
BS8211,"Berangan, Bandar Seri Begawan",Brunei Muara
BS8810,"Jabatan Bandaran, Bandar Seri Begawan",Brunei Muara
BS8510,"Jabatan Hal Ehwal Syariah, Bandar Seri Begawan",Brunei Muara
BS8610,"Jabatan Perbendaharan, Bandar Seri Begawan",Brunei Muara
BS8410,"Jabatan Perkembangan Kurikulum, Bandar Seri Begawan",Brunei Muara
BS8610,"Jabatan Pusat Sejarah, Bandar Seri Begawan",Brunei Muara
BS8610,"JPM (Bangunan Setiausaha Kerajaan), Bandar Seri Begawan",Brunei Muara
BS8810,"Kastam dan Eksais DiRaja, Bandar Seri Begawan",Brunei Muara
BS8811,"Kawasan Perdagangan Bumi Putera, Bandar Seri Begawan",Brunei Muara
BS8611,"Kawasan Pusat Sejarah, Bandar Seri Begawan",Brunei Muara
BS8711,"Kawasan Yayasan Sultan Haji Hassanal Bolkiah, Bandar Seri Begawan",Brunei Muara
BS8610,"Kementerian HAL EHWAL DALAM NEGERI, Bandar Seri Begawan",Brunei Muara
BS8110,"Kementerian KEBUDAYAAN, BELIA DAN SUKAN, Bandar Seri Begawan",Brunei Muara
BS8710,"Kementerian KEWANGAN, Bandar Seri Begawan",Brunei Muara
BS8111,"Kianggeh, Bandar Seri Begawan",Brunei Muara
BS8610,"Lembaga Mata Wang, Bandar Seri Begawan",Brunei Muara
BS8610,"Majlis-Majlis Mesyuarat Negara, Bandar Seri Begawan",Brunei Muara
BS8510,"Mufti Kerajaan Brunei, Bandar Seri Begawan",Brunei Muara
BS8411,"Padang, Bandar Seri Begawan",Brunei Muara
BS8510,"Pejabat Kadi Besar, Bandar Seri Begawan",Brunei Muara
BS8710,"Perancangan dan Kemajuan Ekonomi, Bandar Seri Begawan",Brunei Muara
BS8110,"Pusat Kesenian dan Pertukangan, Bandar Seri Begawan",Brunei Muara
BS8610,"Radio Dan Televisyen Brunei, Bandar Seri Begawan",Brunei Muara
BS8511,"Sumbiling, Bandar Seri Begawan",Brunei Muara
BS8710,"Tabung Amanah Pekerja, Bandar Seri Begawan",Brunei Muara
BS8311,"Tasek Lama, Bandar Seri Begawan",Brunei Muara
